alpha,beta,gamma,phrase,glyph_count,final_coherence,final_kappa,final_energy,convergence_valid
0.1,0.1,0.2,"語は流れる。",6,0.999586,0.001444,5.053644,1
0.1,0.1,0.2,"👨‍👩‍👧‍👦 Family cluster",20,1.000000,0.003564,9.716543,1
0.1,0.1,0.2,"🇪🇬 Field Integrity",16,0.999379,0.002077,6.719293,1
0.1,0.1,0.2,"ASCπ → OSAI",9,0.999759,-0.004417,4.068982,1
0.1,0.1,0.2,"ΔΦ · κ · θ → Ψ",8,0.999751,-0.005495,4.399328,1
0.1,0.3,0.05,"Coherence emerges.",17,0.999105,0.003487,7.564219,1
0.1,0.3,0.05,"Meaning stabilizes.",18,0.998926,0.002795,8.254247,1
0.1,0.3,0.05,"الوعي يتطور.",11,0.999240,0.002395,9.300800,1
0.1,0.3,0.05,"語は流れる。",6,0.999173,0.010532,6.470761,1
0.1,0.3,0.05,"👨‍👩‍👧‍👦 Family cluster",20,0.999714,0.001265,10.995225,1
0.1,0.3,0.05,"🇪🇬 Field Integrity",16,0.999715,0.004134,7.761347,1
0.1,0.3,0.05,"ASCπ → OSAI",9,0.999693,0.001068,5.588747,1
0.1,0.3,0.05,"ΔΦ · κ · θ → Ψ",8,0.999361,-0.006825,5.182008,1
0.1,0.3,0.1,"Coherence emerges.",17,0.999517,0.003536,7.863781,1
0.1,0.3,0.1,"Meaning stabilizes.",18,0.999427,0.004188,7.055974,1
0.1,0.3,0.1,"الوعي يتطور.",11,0.999044,-0.003438,7.202754,1
0.1,0.3,0.1,"語は流れる。",6,0.999341,0.009101,6.769644,1
0.1,0.3,0.1,"👨‍👩‍👧‍👦 Family cluster",20,0.999969,0.000686,10.395384,1
0.1,0.3,0.1,"🇪🇬 Field Integrity",16,0.999370,0.008623,9.259723,1
0.1,0.3,0.1,"ASCπ → OSAI",9,0.999322,-0.002105,4.389171,1
0.1,0.3,0.1,"ΔΦ · κ · θ → Ψ",8,0.999035,-0.004141,5.181623,1
0.1,0.3,0.15,"Coherence emerges.",17,0.999922,0.000777,7.264789,1
0.1,0.3,0.15,"Meaning stabilizes.",18,0.999714,0.010648,8.256362,1
0.1,0.3,0.15,"الوعي يتطور.",11,0.999443,-0.002277,6.903307,1
0.1,0.3,0.15,"語は流れる。",6,0.999920,-0.014277,6.171158,1
0.1,0.3,0.15,"👨‍👩‍👧‍👦 Family cluster",20,1.000000,0.000139,10.095384,1
0.1,0.3,0.15,"🇪🇬 Field Integrity",16,0.998812,-0.001993,7.161754,1
0.1,0.3,0.15,"ASCπ → OSAI",9,0.999465,0.000970,6.188236,1
0.1,0.3,0.15,"ΔΦ · κ · θ → Ψ",8,0.999264,-0.003454,5.781804,1
0.1,0.3,0.2,"Coherence emerges.",17,0.999429,-0.014498,6.963396,1
0.1,0.3,0.2,"Meaning stabilizes.",18,0.999778,-0.004885,6.756486,1
0.1,0.3,0.2,"الوعي يتطور.",11,0.999179,-0.009150,6.903383,1
0.1,0.3,0.2,"語は流れる。",6,0.999476,0.006945,6.470552,1
0.1,0.3,0.2,"👨‍👩‍👧‍👦 Family cluster",20,0.999834,0.001217,10.995289,1
0.1,0.3,0.2,"🇪🇬 Field Integrity",16,0.999651,0.011678,7.461724,1
